id,unit_number,category,equipment,serial_number,inspection_type,expiry_date,package_id,remarks,active,created_at
d8dc74d5-3483-4d30-a808-b581b8f3ae4b,GK-009,"Gosse neck","LIFTING PAD EYES",GK-009,MPI,2027-03-30,UC,"",Yes,"2026-04-18 11:15:20.569001+00"
35254326-8fc3-4515-a09b-63b329286aa8,PU-12,"Pump Unit","Pmp Unit",PU-12,PM-3,2027-02-17,"","",Yes,"2026-04-18 11:15:20.569001+00"
db1d0c47-93bf-4ad6-9c84-8321a5ebea3e,CC-706,"control cabin","Weight Gauge",107056-000-1,Calibration,2026-08-11,"","",Yes,"2026-04-18 11:15:20.569001+00"
93c76aa5-7098-423e-ba81-e8237f7cf45c,45-415,"N2 unit","Nitrogen Pump",45-415,PM-3,2027-03-02,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
46f47072-851a-43e5-8bd2-6e3d866cb4d8,CC-706,"control cabin","CP Gauge",CP-1228836,Calibration,2027-02-23,"","",Yes,"2026-04-18 11:15:20.569001+00"
27976909-deed-46b6-8bef-44f47d6b5cb9,CC-706,"control cabin","WHP Gauge",WHP-122097,Calibration,2027-02-23,"","",Yes,"2026-04-18 11:15:20.569001+00"
2bdb4e98-4885-4623-8327-798f12d87c3e,45-402,"N2 unit","LIFTING PAD EYES",45-402,MPI,2026-05-28,"","",Yes,"2026-04-18 11:15:20.569001+00"
574900bf-93f4-49e5-9a61-0394b023e838,45-402,"N2 unit","Nitrogen Pump",45-402,PM-2,2026-07-11,"","",Yes,"2026-04-18 11:15:20.569001+00"
b739eb59-34dd-4227-b3c2-9cdec6ea4fc0,45-402,"N2 unit","Nitrogen Pump",45-402,PM-3,2026-05-26,"","",Yes,"2026-04-18 11:15:20.569001+00"
f6ec08b9-554e-4e76-9e3a-51ab07059181,45-402,"N2 unit","Air Tank PRV",45-402-20,Calibration,2026-05-19,"","",Yes,"2026-04-18 11:15:20.569001+00"
435615af-080b-4dd9-95e1-9b3654f268d8,45-402,"N2 unit","Pressure Gauges",45-402,Calibration,2026-05-19,"","",Yes,"2026-04-18 11:15:20.569001+00"
9bc12a05-5c7e-47cd-960f-8c77ed7d118d,45-402,"N2 unit","N2 PRVs",45-402,Calibration,2026-05-19,"","",Yes,"2026-04-18 11:15:20.569001+00"
910db8ff-d50c-4375-a145-870eeb386e06,45-406,"N2 unit","LIFTING PAD EYES",45-406,MPI,2026-10-14,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
3b6c6d22-6e88-4d30-b762-90067fc3c802,45-406,"N2 unit","Nitrogen Pump",45-406,PM-2,2026-04-19,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
3608dc95-271e-4341-8d6e-77cd09ebde88,45-406,"N2 unit","Nitrogen Pump",45-406,PM-3,2026-10-19,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
c419a7b9-1afc-4117-90a8-fcae1179cc4b,45-406,"N2 unit","Air Tank PRV",504644,Calibration,2026-09-30,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
b7832fde-6697-4067-b035-128604af6d9c,45-410,"N2 unit","LIFTING PAD EYES",45-410,MPI,2027-02-06,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
557c62d8-3f19-4959-a2d4-1df7f8ae58fb,45-410,"N2 unit","Nitrogen Pump",45-410,PM-2,2026-07-08,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
7b57e29b-fecc-42c7-a0d6-b0c025e6dd97,45-410,"N2 unit","Nitrogen Pump",45-410,PM-3,2026-05-17,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
5d69fb58-9bfd-42ce-b358-97725223b525,45-410,"N2 unit","Air Tank PRV",45-410-19,Calibration,2026-05-18,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
9910fcad-d8fc-435c-a3f0-b6738fbc4ed7,45-410,"N2 unit","Pressure Gauges",45-411,Calibration,2026-05-18,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
8d6360ac-5345-4657-9fa1-8a00afbf9271,45-410,"N2 unit","N2 PRVs",45-411,Calibration,2026-05-18,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
d1f25f05-c1e5-4de4-8d15-3d7fede97f20,45-411,"N2 unit","LIFTING PAD EYES",45-411,MPI,2026-10-22,"","",Yes,"2026-04-18 11:15:20.569001+00"
24327bd5-9694-41d3-8ee4-c8237dd206c9,45-411,"N2 unit","Nitrogen Pump",45-411,PM-2,2026-05-06,"","",Yes,"2026-04-18 11:15:20.569001+00"
9ba9e9ff-e5dc-4bb1-afce-7b4eff31b5bb,45-411,"N2 unit","Nitrogen Pump",45-411,PM-3,2026-11-06,"","",Yes,"2026-04-18 11:15:20.569001+00"
ef850bda-9ffa-4cb8-bed2-563ee885c1bb,45-411,"N2 unit","Air Tank PRV",45-411-19,Calibration,2026-10-20,"","",Yes,"2026-04-18 11:15:20.569001+00"
2d4f3d6d-8768-4337-b8fc-25b53490eefd,45-411,"N2 unit","Pressure Gauges",45-411,Calibration,2026-10-20,"","",Yes,"2026-04-18 11:15:20.569001+00"
ad6550b9-4296-4202-ac5f-046f88792fee,45-411,"N2 unit","N2 PRVs",45-411,Calibration,2026-10-20,"","",Yes,"2026-04-18 11:15:20.569001+00"
fd0d6213-5474-4351-b3d4-60097d1509d4,45-415,"N2 unit","LIFTING PAD EYES",45-415,MPI,2026-01-13,SA,"",Yes,"2026-04-18 11:15:20.569001+00"
7db7ff35-52d1-4399-adf3-2d3708d9419a,45-416,"N2 unit","LIFTING PAD EYES",45-416,MPI,2026-09-03,"","",Yes,"2026-04-18 11:15:20.569001+00"
cfd2635b-484d-4cf2-b757-c0739ae07fdc,45-416,"N2 unit","Nitrogen Pump",45-416,PM-2,2026-09-23,"","",Yes,"2026-04-18 11:15:20.569001+00"
e6302d06-ffb9-44bc-92d2-251df31b707e,45-416,"N2 unit","Nitrogen Pump",45-416,PM-3,2027-03-23,"","",Yes,"2026-04-18 11:15:20.569001+00"
9c490c56-f361-459d-960b-b654e0f8b156,45-416,"N2 unit","Pressure Gauges",45-416,Calibration,2027-03-17,"","",Yes,"2026-04-18 11:15:20.569001+00"
1a1db67a-271c-4abe-a614-fabfc6fdbc44,45-416,"N2 unit","N2 PRVs",45-416,Calibration,2027-03-17,"","",Yes,"2026-04-18 11:15:20.569001+00"
4a5149c5-fc19-4d75-a5b8-dc13ca7dbb12,BM-177,"Batch Mixer","LIFTING PAD EYES",15-177,MPI,2026-02-08,"","",No,"2026-04-18 11:15:20.569001+00"
638eb2f1-e3bd-4dfc-bf71-c91a86b075f0,BM-177,"Batch Mixer",Sling,NPS-351,"Visual Inspection",2026-02-25,"","",No,"2026-04-18 11:15:20.569001+00"
1c6925ff-b607-418b-8732-9946f68e75ff,BM-177,"Batch Mixer","Batch Mixer",15-177,PM-2,2026-05-24,"","",No,"2026-04-18 11:15:20.569001+00"
4241c8d5-57b7-40dc-9aec-0eea8100428a,BM-177,"Batch Mixer","Pressure gauges",15-177,Calibration,2026-02-08,"","",No,"2026-04-18 11:15:20.569001+00"
aa6782c0-05d7-4dcc-8096-ab770c2dadea,BM-177,"Batch Mixer","Batch Mixer",15-177,PM-3,2026-02-07,"","",No,"2026-04-18 11:15:20.569001+00"
19fa6835-c0b6-4f1b-afc4-4ff623fdc773,BM-063,"Batch Mixer","LIFTING PAD EYES",15-063,MPI,2026-08-29,"","",Yes,"2026-04-18 11:15:20.569001+00"
90593f67-d4bd-4d88-8b5e-c49f7e56f99f,BM-063,"Batch Mixer","Batch Mixer",15-063,PM-2,2026-05-01,"","",Yes,"2026-04-18 11:15:20.569001+00"
713e9654-8438-4a07-a971-273593357ee3,BM-063,"Batch Mixer","Pressure gauges",15-063,Calibration,2026-11-25,"","",Yes,"2026-04-18 11:15:20.569001+00"
6e6fd0fc-6e8f-4767-9b91-6fee81f1c304,BM-063,"Batch Mixer","Batch Mixer",15-063,PM-3,2026-11-01,"","",Yes,"2026-04-18 11:15:20.569001+00"
0b4503fb-ed52-4211-9e9d-24ecc0cfba2d,BT-01,"Bleed off tank","LIFTING PAD EYES",BT-01,MPI,2026-09-03,"","",Yes,"2026-04-18 11:15:20.569001+00"
df8a1d9d-01aa-453e-9f06-766ad34afc3b,CC-706,"control cabin","LIFTING PAD EYES",CC-706,MPI,2026-09-03,"","",Yes,"2026-04-18 11:15:20.569001+00"
774e7c0e-d0e3-4de8-b8dc-7db4a17bfa34,CC-706,"control cabin","Control Cabin",CC-706,PM-2,2026-03-16,"","",Yes,"2026-04-18 11:15:20.569001+00"
f937f7fc-cbde-4745-91b8-f7805142a626,CC-706,"control cabin","Control Cabin",CC-706,PM-3,2026-03-19,"","",Yes,"2026-04-18 11:15:20.569001+00"
f8c1b935-e738-4959-9d4a-0eed783e2748,CC-706,"control cabin","Pressure Transducer","",Calibration,,"","",Yes,"2026-04-18 11:15:20.569001+00"
32152eb3-3be1-415a-b8ab-892ee46a628b,CC-706,"control cabin","Pressure Transducer","",Calibration,2026-01-15,"","",Yes,"2026-04-18 11:15:20.569001+00"
f449bf48-a449-4343-8c33-3b13d3d8ae1f,CC-706,"control cabin","Pressure Transducer",864766,Calibration,2026-01-15,"","",Yes,"2026-04-18 11:15:20.569001+00"
b55dfac8-caa7-471c-96cf-f7c52126bc23,CC-717,"control cabin","LIFTING PAD EYES",CC-717,MPI,2026-03-22,"","",No,"2026-04-18 11:15:20.569001+00"
ba3d1608-d507-47b7-a919-726d0389f742,CC-717,"control cabin","Control Cabin",CC-717,PM-2,2026-07-03,"","",No,"2026-04-18 11:15:20.569001+00"
f97588f8-bd34-43b3-9bf2-0d685a6fda27,CC-717,"control cabin","Control Cabin",CC-717,PM-3,2026-03-25,"","",No,"2026-04-18 11:15:20.569001+00"
070bec3f-8161-473d-9059-8eb82d113398,CC-717,"control cabin","WHP Gauge",WHPG-CC-717-12,Calibration,2026-03-07,"","",No,"2026-04-18 11:15:20.569001+00"
