id,equipment_type,inspection_type,serial_number,expiry_date,status,capacity_ton,leg,location,created_at
60840340-bcfa-4910-9c0a-19b1fd8bf2fe,"Come Along","Visual Inspection",410280053,2026-10-19,"Expiring Soon",3,"",TB-703,"2026-04-18 11:15:20.569001+00"
012c8e25-ff98-4c07-be39-766b8f88be70,"Lifting Belt","Visual Inspection",200003-197,2026-10-19,"Expiring Soon",3,"",TB-703,"2026-04-18 11:15:20.569001+00"
c6c2501c-c63e-416a-8e23-cc399626e5b4,"Lifting Belt","Visual Inspection",LP-48803,2026-10-19,Valid,6,1,TB-703,"2026-04-20 13:55:30.775025+00"
41b44e94-5b5c-4aa7-808d-7002bb9fb0b0,"Lifting Belt","Visual Inspection",LP-200003-64,2026-10-19,Valid,6,1,TB-703,"2026-04-20 13:56:18.636906+00"
fe64833a-a1c7-415d-9a57-281f3d960114,"Lifting Belt","Visual Inspection",LP-48801,2026-05-25,Valid,6T,"",TB-713,"2026-04-21 07:30:32.085817+00"
6f7ee604-64e4-41f6-9b07-3ccb4b01de7d,Sling,"Visual Inspection",MF-105,2026-07-18,Valid,18,4,Yard,"2026-04-18 11:15:20.569001+00"
b4dcb5d2-56e1-47c6-99c0-d93085169c23,Sling,"Visual Inspection",079669-002A,2026-09-14,Valid,9.1,1,Yard,"2026-04-18 11:15:20.569001+00"
43e12cac-52c9-4135-a9da-ff2e754dffd5,Sling,"Visual Inspection",076667-001/A,2026-06-30,Valid,13.6,5,Yard,"2026-04-18 11:15:20.569001+00"
6162386d-fd51-424e-9a05-41f14d234b79,Sling,"Visual Inspection",NPS-3765,2026-06-30,Valid,2,1,Yard,"2026-04-18 11:15:20.569001+00"
267c8c31-9e96-4444-aab6-ae5d25ad46c2,Sling,"Visual Inspection",NPS-3771,2026-06-30,Valid,2,1,Yard,"2026-04-18 11:15:20.569001+00"
424761c7-6fe3-4191-a545-86997d5ef8bc,Sling,"Visual Inspection",AZ-9136,2026-06-30,Valid,2.1,1,Yard,"2026-04-18 11:15:20.569001+00"
cba6da37-9b9d-4fb5-8e2b-883904ff9baa,Sling,"Visual Inspection",NPS-2145,2026-06-30,Valid,2.1,1,Yard,"2026-04-18 11:15:20.569001+00"
2f0d8310-ba3a-4a97-9128-203551540c59,Sling,"Visual Inspection",NPS-3758,2026-09-14,Valid,2,1,Yard,"2026-04-18 11:15:20.569001+00"
60111728-7b76-4d67-8665-587c78d185e3,Sling,"Visual Inspection",NPS-3763,2026-09-14,Valid,2,1,Yard,"2026-04-18 11:15:20.569001+00"
e165942b-9e0d-4f94-a101-374ac6afd93d,Sling,"Visual Inspection",AZ-9137,2026-07-18,Valid,10,1,Yard,"2026-04-18 11:15:20.569001+00"
8e2c8048-8ec6-4725-8c5f-eb70c9dcd2ba,Sling,"Visual Inspection",NPS-4988,2026-07-06,Valid,10,1,Yard,"2026-04-18 11:15:20.569001+00"
6d1923e6-4677-4de5-9161-7bc04b046712,Sling,"Visual Inspection",SA-215,2026-05-01,"Expiring Soon",2.5,1,Yard,"2026-04-18 11:15:20.569001+00"
e646ff42-6bd8-4741-a218-2f704da3b756,Sling,"Visual Inspection",NPS-167,2026-07-18,Valid,8.6,2,Yard,"2026-04-18 11:15:20.569001+00"
d026af81-3e2e-42c8-b80b-92a041cb30d3,Sling,"Visual Inspection",AZ-557,2026-08-03,Valid,13,4,Yard,"2026-04-18 11:15:20.569001+00"
3e3109c0-43bf-492b-988b-7fa19e1443f5,Sling,"Visual Inspection",SA-220,2026-06-30,Valid,10.7,4,Yard,"2026-04-18 11:15:20.569001+00"
bdab783a-8c01-454b-9acb-bece08ad545c,Sling,"Visual Inspection",NPS-3750,2026-05-02,"Expiring Soon",13,4,Yard,"2026-04-18 11:15:20.569001+00"
50ee05d9-3bbd-4e46-b1f0-ff6cf516c416,Sling,"Visual Inspection",076355-003,2026-07-18,Valid,9.5,4,Yard,"2026-04-18 11:15:20.569001+00"
5e8886a3-7238-44ff-9762-8e4e0d8367f3,Sling,"Visual Inspection",SA-213,2026-08-03,Valid,13.85,4,Yard,"2026-04-18 11:15:20.569001+00"
1f72a8b7-491b-46d1-b054-4d91500bcbe8,Sling,"Visual Inspection",079669-002,2026-09-14,Valid,9.1,4,Yard,"2026-04-18 11:15:20.569001+00"
c9b4daec-a3d2-47e1-9fc1-d2e580e55754,Sling,"Visual Inspection",076355-001,2026-07-18,Valid,9.5,4,Yard,"2026-04-18 11:15:20.569001+00"
4cba8ad9-6516-4a9d-ab9f-82f218f45180,Sling,"Visual Inspection",NPS-2586,2026-06-29,Valid,13,4,Yard,"2026-04-18 11:15:20.569001+00"
1403df03-133a-4d7c-9d05-09a0b106da68,Sling,"Visual Inspection",AZ-555,2026-06-29,Valid,4.4,4,Yard,"2026-04-18 11:15:20.569001+00"
5ce48728-fcbf-4d66-a350-373f9c22c03b,Sling,"Visual Inspection",NPS-2425,2026-06-29,Valid,4.5,4,Yard,"2026-04-18 11:15:20.569001+00"
85623f13-636a-4bed-a413-adc2b50c0d8e,Sling,"Visual Inspection",AZ-2171,2026-06-29,Valid,9.6,4,Yard,"2026-04-18 11:15:20.569001+00"
3c8a60f2-3aa8-458e-b9f0-dbcc178ea97a,Sling,"Visual Inspection",AZ-564,2026-06-30,Valid,9.6,4,Yard,"2026-04-18 11:15:20.569001+00"
5b90131c-55a6-405a-9be0-7c642c6b961b,Sling,"Visual Inspection",NPS-2580,2026-08-03,Valid,13,4,Yard,"2026-04-18 11:15:20.569001+00"
0a64492a-f242-423f-99cc-82c404f3e795,Sling,"Visual Inspection",AZ-562,2026-06-29,Valid,9.6,4,Yard,"2026-04-18 11:15:20.569001+00"
